IncidentID,SiteID,IncidentDate,IncidentType,Severity,RootCause
1,1,2026-03-29,"Near Miss",High,"Aliquid et velit ab explicabo eligendi id."
2,2,2024-11-27,"Near Miss",Critical,"Et hic explicabo consectetur perferendis."
3,3,2025-10-10,Injury,Critical,"Illum qui aut rem corrupti nesciunt."
4,5,2024-10-17,"Near Miss",High,"Labore sit alias cum placeat aspernatur."
5,15,2025-10-14,Fire,High,"At quaerat sunt rem omnis quisquam cum vitae."
6,15,2025-10-20,Fire,Medium,"Voluptatibus non minima quisquam ipsum consectetur enim."
7,17,2025-01-12,"Near Miss",Medium,"Sequi inventore tempora quo harum distinctio nostrum asperiores."
8,19,2026-04-04,"Equipment Failure",Low,"Necessitatibus voluptatibus atque accusamus."
9,21,2024-05-09,"Equipment Failure",Medium,"Molestias voluptas quos assumenda atque."
10,26,2026-06-25,"False Alarm",Medium,"Cumque eos architecto nemo explicabo architecto."
11,29,2024-12-19,"False Alarm",Medium,"Ducimus labore ducimus soluta officiis consequuntur commodi."
12,29,2026-02-24,Fire,Critical,"Laborum facilis enim illum nulla perspiciatis ipsam."
13,31,2024-06-30,"Equipment Failure",High,"Sapiente veritatis fugiat placeat magni ea soluta."
14,31,2025-05-06,Fire,High,"Nulla officia qui."
15,32,2025-07-29,Injury,High,"Praesentium natus culpa autem fugiat."
16,32,2025-05-10,"Equipment Failure",Critical,"Id asperiores harum iure atque iure odit."
17,33,2024-11-29,"Equipment Failure",Low,"Autem debitis autem vero id inventore illo."
18,43,2024-05-03,Injury,Critical,"Et voluptatum laborum praesentium."
19,43,2024-06-28,"False Alarm",Critical,"Beatae iste molestias veniam corporis distinctio necessitatibus."
20,45,2025-08-01,Injury,Medium,"Quo aperiam repellat ratione voluptatem distinctio distinctio ad."
21,48,2024-06-07,"Chemical Spill",Medium,"Earum odio assumenda architecto illo error."
22,57,2024-08-30,"Equipment Failure",High,"Sit minima pariatur ea rerum at temporibus."
23,60,2024-11-23,"Chemical Spill",High,"Vitae error dicta velit laboriosam modi."
24,61,2025-05-15,Injury,Critical,"Vitae ipsa totam necessitatibus."
25,64,2024-10-23,"Equipment Failure",Low,"Natus tempora dicta."
26,64,2025-08-07,"Near Miss",High,"Nulla eum voluptates vel quia qui et corrupti."
27,70,2025-09-10,"Chemical Spill",Critical,"Ut libero et recusandae perferendis ea quam."
28,70,2024-01-03,"Equipment Failure",Medium,"Velit similique odio odit neque alias quia."
29,72,2024-09-09,Injury,Critical,"In molestias cumque fugiat expedita."
30,72,2026-02-16,"Chemical Spill",Critical,"Voluptas nemo accusamus repellendus accusamus."
31,74,2024-05-21,"Chemical Spill",Medium,"Magnam sint praesentium officiis iste."
32,74,2024-05-13,"Equipment Failure",Low,"Explicabo repudiandae incidunt voluptate excepturi unde."
33,77,2025-02-10,Injury,Low,"Incidunt debitis nisi molestiae fugit sapiente porro."
34,77,2025-07-15,"Equipment Failure",Medium,"Odio praesentium vel temporibus aut assumenda."
35,78,2024-09-28,"Chemical Spill",Critical,"At accusamus ut aut."
36,85,2025-12-10,Injury,High,"Unde aut ipsam neque adipisci enim in dolore."
37,88,2024-03-03,"False Alarm",Medium,"Mollitia beatae sequi veritatis expedita recusandae iure."
38,88,2024-01-18,"Near Miss",High,"Ab fugiat dolore eligendi sunt eaque."
39,89,2025-10-22,"False Alarm",High,"Perferendis a tenetur adipisci ad ratione."
40,89,2024-04-22,Fire,Low,"Reprehenderit nobis ex vero voluptatibus doloribus voluptate."
41,90,2024-08-03,Injury,Low,"Nulla hic amet ut inventore."
42,91,2025-10-20,"Chemical Spill",Medium,"Voluptate cupiditate temporibus maxime ipsa aut."
43,95,2024-04-04,"Near Miss",Medium,"Magnam occaecati quos sapiente."
44,99,2024-01-06,"Chemical Spill",Critical,"Totam saepe culpa eum at ad accusamus quo."
45,101,2024-04-05,"Chemical Spill",Low,"Adipisci provident ullam aspernatur."
46,101,2024-05-28,Fire,Low,"Ad quasi voluptatem odio quod delectus."
47,104,2024-04-30,Injury,Critical,"Error modi doloribus quod ratione."
48,107,2025-09-12,Injury,Low,"Omnis eius vel occaecati odit."
49,108,2025-02-16,"False Alarm",Medium,"Sint beatae unde commodi consequuntur ea debitis aspernatur."
50,108,2024-07-04,"False Alarm",Low,"Totam dignissimos aut recusandae impedit laborum."
51,110,2026-01-10,"Near Miss",Critical,"Asperiores porro fugiat et tenetur repellat debitis ab."
52,112,2024-02-07,"Near Miss",Medium,"Optio occaecati sequi blanditiis."
53,114,2025-11-07,"Equipment Failure",Critical,"Voluptatibus laborum nostrum molestias culpa qui."
54,117,2024-06-02,"Near Miss",Medium,"Deserunt adipisci ad maiores."
55,118,2024-01-24,"Chemical Spill",Critical,"Dolor facilis tempore adipisci."
56,118,2025-10-02,"Chemical Spill",Medium,"Dolor quas velit eaque."
57,122,2024-06-02,"Chemical Spill",High,"Dicta at provident officiis iusto repellat ipsa."
58,124,2025-12-18,"Near Miss",High,"Ullam dolorum dicta sapiente quaerat vitae."
59,127,2026-04-04,"Equipment Failure",High,"Nesciunt quisquam est recusandae."
60,128,2026-04-23,"False Alarm",Low,"Inventore ipsum nisi earum eum autem fugit."
61,128,2024-08-22,Fire,Low,"Necessitatibus fugiat odio aperiam cumque."
62,129,2025-03-10,"Near Miss",High,"Vero ducimus illum."
63,133,2024-09-22,"False Alarm",Medium,"Repudiandae officia vitae explicabo adipisci debitis eum ratione."
64,134,2024-02-25,Fire,Low,"Doloribus dolor fuga corporis et ab."
65,134,2025-01-05,"Chemical Spill",Medium,"Quaerat distinctio necessitatibus."
66,137,2025-09-05,"Chemical Spill",Low,"Tempore natus harum nobis minima aut."
67,140,2026-06-01,"Chemical Spill",Low,"Quaerat veniam rem perferendis nemo."
68,140,2025-02-26,"Equipment Failure",Medium,"Placeat ipsa repellendus dicta amet laudantium."
69,141,2025-06-27,Injury,Low,"Voluptatibus in commodi."
70,141,2024-12-16,"Near Miss",High,"Nobis nihil dolores accusantium."
71,143,2024-08-15,Injury,High,"Officia sequi voluptates."
72,144,2024-05-07,"False Alarm",High,"Eligendi sapiente illo tempore ullam aliquam officia."
73,152,2025-01-14,Fire,High,"Iusto rerum impedit error."
74,155,2024-09-14,Fire,Low,"Quidem id nam est nostrum hic."
75,156,2025-04-17,Fire,Low,"Laudantium odit tenetur sapiente vel aut dolore."
76,156,2024-04-23,"False Alarm",Low,"Consequuntur voluptatibus similique."
77,160,2026-04-05,Injury,Critical,"Dolorem at quam repellat repellendus modi."
78,162,2024-10-09,"False Alarm",Critical,"Vel sint ea."
79,162,2024-06-14,Fire,Low,"Beatae veniam asperiores."
80,168,2026-06-08,Injury,Low,"Porro recusandae fugit praesentium unde nesciunt."
81,172,2025-02-22,Fire,Low,"Commodi similique quidem suscipit."
82,173,2025-12-30,"Equipment Failure",High,"Odio pariatur maxime dolores labore laudantium."
83,173,2024-03-22,"False Alarm",High,"Eum quasi dolorem eaque eos."
84,176,2024-07-23,Fire,Medium,"Explicabo saepe doloribus officia."
85,176,2024-04-26,Injury,Medium,"Possimus asperiores libero distinctio perferendis."
86,177,2024-07-05,"Near Miss",High,"Repellendus deleniti autem dignissimos nihil minus similique."
87,177,2025-04-02,Fire,Critical,"Provident omnis sed autem consectetur."
88,180,2024-12-07,"Equipment Failure",Medium,"Harum iste nulla dicta id architecto."
89,182,2024-09-17,Fire,Critical,"Cum esse sit officiis corporis soluta."
90,182,2025-03-23,"Equipment Failure",Low,"Dolores tempora deleniti adipisci."
91,184,2026-04-30,"Equipment Failure",Critical,"Iste eaque unde assumenda inventore corrupti magnam."
92,185,2024-09-29,Fire,Critical,"Ex ipsam fuga aliquid fugit unde deserunt."
93,187,2025-10-03,"Chemical Spill",Low,"Illo nisi minus laudantium inventore."
94,187,2026-02-12,"False Alarm",Low,"Officia vero dolor."
95,188,2025-11-13,Fire,Low,"Tempora nemo dolores."
96,188,2024-09-15,"False Alarm",Low,"Aut dolorem nulla quaerat hic aut quasi."
97,190,2025-07-10,"Chemical Spill",Low,"Libero cupiditate dignissimos odio provident."
98,197,2024-11-20,"Equipment Failure",Low,"Quasi atque magnam praesentium labore."
99,198,2026-04-07,"Chemical Spill",High,"Sequi porro cumque placeat cumque."
100,206,2024-07-22,Fire,Critical,"Tempore consequuntur accusamus labore ex debitis."
101,211,2025-01-26,"False Alarm",Medium,"Sunt cupiditate quis ab explicabo."
102,211,2024-08-09,Fire,High,"Nesciunt laborum dolorum autem reprehenderit necessitatibus voluptatibus."
103,215,2026-02-19,"Near Miss",Critical,"Minima cumque corporis atque esse."
104,216,2025-08-19,"Chemical Spill",Low,"Iste quasi voluptatibus ducimus laborum facilis."
105,216,2025-09-17,Fire,Low,"Repudiandae error ex."
106,217,2024-06-18,Fire,Medium,"Quo sequi temporibus nisi beatae placeat quas."
107,217,2024-01-27,"Equipment Failure",Critical,"Corporis illum dolore."
108,218,2026-04-19,"Chemical Spill",Medium,"Facere adipisci neque possimus."
109,218,2024-04-18,"False Alarm",Critical,"Facere quia deserunt veritatis odit vitae."
110,219,2025-11-07,Injury,Low,"Perspiciatis tempore ipsum vero minima eaque perspiciatis suscipit."
111,222,2024-08-28,"Near Miss",Critical,"Nihil veniam eius deleniti neque praesentium."
112,225,2024-01-23,Injury,High,"Commodi recusandae necessitatibus recusandae expedita beatae ab unde."
113,225,2025-11-08,"Chemical Spill",Low,"Iure corrupti vitae numquam."
114,231,2024-06-13,"False Alarm",Critical,"Esse enim reiciendis accusamus."
115,236,2025-06-03,"Near Miss",Critical,"Dolor repudiandae commodi."
116,236,2024-01-12,"Chemical Spill",Medium,"Esse inventore optio a dolorum expedita eligendi."
117,237,2024-09-22,"Chemical Spill",Low,"Pariatur quisquam culpa assumenda earum voluptatum deserunt."
118,239,2026-04-28,"Equipment Failure",Medium,"Ullam enim adipisci ut dolorum perspiciatis harum id."
119,241,2024-04-03,Injury,Low,"Tempora ullam nisi cupiditate."
120,241,2024-06-10,"Chemical Spill",Critical,"Perspiciatis eum neque placeat dicta consequatur."
121,248,2025-08-15,Injury,Critical,"Dicta esse error unde itaque delectus quos."
122,248,2025-11-11,Injury,Low,"Atque minima possimus magnam placeat facere."
123,249,2024-08-22,Injury,Low,"Incidunt in illum adipisci nam vero."
124,249,2024-09-21,"False Alarm",Critical,"At consequuntur tenetur ratione neque fuga."
125,250,2024-02-15,Fire,Medium,"Molestiae natus eos quidem hic illo ab rem."
126,250,2024-06-30,Fire,High,"Itaque amet amet rerum officiis ex atque."
